pH	HgCl+	 HgCl2 	  HgCl3-	  HgCl4--	HgOHCl	Hg(OH)2	HgOHCO3-	HgCO3	HgRs+
2	1.00E-50	3.58E-10	4.05E-11	2.88E-12	1.00E-50	1.00E-50	1.00E-50	1.00E-50	1.00E-50
3	1.00E-50	3.89E-10	1.13E-11	1.87E-13	1.00E-50	1.00E-50	1.00E-50	1.00E-50	1.71E-13
4	1.00E-50	3.89E-10	8.06E-12	9.48E-14	3.05E-13	1.00E-50	1.00E-50	1.00E-50	3.27E-12
5	1.00E-50	3.57E-10	6.84E-12	7.45E-14	3.01E-12	1.00E-50	1.00E-50	1.00E-50	3.45E-11
6	1.00E-50	1.45E-10	2.08E-12	1.00E-50	1.63E-11	6.09E-13	1.00E-50	1.00E-50	2.37E-10
7	1.00E-50	4.00E-12	1.00E-50	1.00E-50	1.10E-11	1.00E-11	1.60E-13	1.00E-50	3.76E-10
7.8	1.00E-50	1.99E-13	1.00E-50	1.00E-50	5.83E-12	5.65E-11	1.05E-12	1.00E-50	3.38E-10
8	1.00E-50	1.01E-13	1.00E-50	1.00E-50	5.02E-12	8.25E-11	1.54E-12	1.00E-50	3.12E-10
9	1.00E-50	1.00E-50	1.00E-50	1.00E-50	1.09E-12	2.89E-10	5.24E-12	1.00E-50	1.05E-10
